,order,family,name,sc_name,year,month,day,place,lat,lon,collector,X2020list,ORDER,Family,学名.1,latlon,X,基質,同定レベル,同定根拠,投稿先,number,齢,性,植物種,備考,pre_label
1,チョウ,アゲハチョウ,アオスジアゲハ,Graphium sarpedon nipponum,2022,5,26,川内,38.25722,140.85813,佐野孔亮,●,チョウ,アゲハチョウ,Graphium sarpedon nipponum,257.858,川内,止水,A,翅の模様,,1,,,,仙台城堀の湿地帯で給水中,"　仙台市青葉区川内,1ex.；26.V.2022 佐野孔亮"
2,チョウ,アゲハチョウ,アオスジアゲハ,Graphium sarpedon nipponum,2022,6,1,川内,38.25839,140.85508,佐野孔亮,●,チョウ,アゲハチョウ,Graphium sarpedon nipponum,258.855,川内,草上,A,模様,,1,,M,アカツメクサ,アカツメクサ吸蜜。標本有。,"　仙台市青葉区川内,1♂；1.VI.2022 佐野孔亮"
3,チョウ,アゲハチョウ,アオスジアゲハ,Graphium sarpedon nipponum,2022,6,16,川内,38.25819,140.85558,佐野孔亮,●,チョウ,アゲハチョウ,Graphium sarpedon nipponum,258.856,川内,草本,A,翅の模様,,1,,,,,"　仙台市青葉区川内,1ex.；16.VI.2022 佐野孔亮"
4,チョウ,アゲハチョウ,アオスジアゲハ,Graphium sarpedon nipponum,2022,6,18,川内,38.25614,140.85835,佐野孔亮,●,チョウ,アゲハチョウ,Graphium sarpedon nipponum,256.858,川内,草本,A,模様、翅形,,1,,F,アカツメクサ,吸蜜、標本有。,"　仙台市青葉区川内,1♀；18.VI.2022 佐野孔亮"
5,チョウ,アゲハチョウ,アオスジアゲハ,Graphium sarpedon nipponum,2022,8,19,川内,38.24978,140.86064,佐野孔亮,●,チョウ,アゲハチョウ,Graphium sarpedon nipponum,250.861,川内,草上,A,翅の模様,,1,,,,,"　仙台市青葉区川内,1ex.；19.VIII.2022 佐野孔亮"
6,チョウ,アゲハチョウ,アオスジアゲハ,Graphium sarpedon nipponum,2023,5,31,理薬,38.25859,140.84224,佐野孔亮,●,チョウ,アゲハチョウ,Graphium sarpedon nipponum,259.842,理薬,草上,A,模様,,1,,M,トベラ,春型、吸蜜中、標本有,"　仙台市青葉区荒巻青葉,1♂；31.V.2023 佐野孔亮"
7,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2022,5,25,川内,38.26017,140.85053,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,260.851,川内,舗装,B,体長、分布,,1,,,,,"　仙台市青葉区川内,1ex.；25.V.2022 佐野孔亮"
8,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,4,21,理薬,38.25903,140.84247,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.842,理薬,空中,B,翅裏に白条が見えなかった,,1,,M,,ミヤマの可能性あり,"　仙台市青葉区荒巻青葉,1♂；21.IV.2023 佐野孔亮"
9,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,4,21,理薬,38.25899,140.84245,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.842,理薬,草本,A,模様、翅形,,1,,F,クマガイソウ,吸蜜、標本有。,"　仙台市青葉区荒巻青葉,1♀；21.IV.2023 佐野孔亮"
10,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,5,10,理薬,38.25904,140.8426,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.843,理薬,,A,模様,,1,,M,,春型、標本有,"　仙台市青葉区荒巻青葉,1♂；10.V.2023 佐野孔亮"
11,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,5,12,理薬,38.25898,140.84252,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.843,理薬,空中,A,模様、翅形,,2,,M,,,"　仙台市青葉区荒巻青葉,2♂；12.V.2023 佐野孔亮"
12,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,5,27,理薬,38.25897,140.8425,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.843,理薬,空中,A,模様、翅形,,1,,M,,標本有。,"　仙台市青葉区荒巻青葉,1♂；27.V.2023 佐野孔亮"
13,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,5,31,理薬,38.25897,140.84246,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.842,理薬,草上,A,模様,,1,,M,ツツジ,春型、吸蜜中、標本有,"　仙台市青葉区荒巻青葉,1♂；31.V.2023 佐野孔亮"
14,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,7,2,理薬,38.25945,140.84184,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.842,理薬,空中,A,模様,,1,,M,,夏型、標本有,"　仙台市青葉区荒巻青葉,1♂；2.VII.2023 佐野孔亮"
15,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,8,1,理薬,38.25934,140.84192,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.842,理薬,,A,翅形、模様,,1,,M,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♂；1.VIII.2023 佐野孔亮"
16,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,8,1,理薬,38.25934,140.84192,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.842,理薬,,A,翅形、模様,,2,,2M,,夏型、未展翅,"　仙台市青葉区荒巻青葉,22♂；1.VIII.2023 佐野孔亮"
17,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,8,1,理薬,38.25934,140.84192,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.842,理薬,,A,翅形、模様,,1,,F,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♀；1.VIII.2023 佐野孔亮"
18,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,8,22,理薬,38.25938,140.84189,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.842,理薬,,A,翅形、模様,,1,,M,,秋型？、ド完品、未展翅,"　仙台市青葉区荒巻青葉,1♂；22.VIII.2023 佐野孔亮"
19,チョウ,アゲハチョウ,カラスアゲハ,Papilio dehaanii dehaanii,2023,9,12,理薬,38.25896,140.84245,佐野孔亮,●,チョウ,アゲハチョウ,Papilio dehaanii dehaanii,259.842,理薬,,A,翅形、模様,,1,,M,,未展翅,"　仙台市青葉区荒巻青葉,1♂；12.IX.2023 佐野孔亮"
20,チョウ,アゲハチョウ,モンキアゲハ,Papilio helenus nicconicolens,2022,5,30,青葉山農,38.25016,140.84008,佐野孔亮,●,チョウ,アゲハチョウ,Papilio helenus nicconicolens,250.84,青葉山農,草本,A,大きさ、白斑,,1,,,クズ,,"　仙台市青葉区荒巻青葉,1ex.；30.V.2022 佐野孔亮"
21,チョウ,アゲハチョウ,モンキアゲハ,Papilio helenus nicconicolens,2022,6,11,青葉山農,38.25025,140.83607,佐野孔亮,●,チョウ,アゲハチョウ,Papilio helenus nicconicolens,250.836,青葉山農,空中,A,大きさ、白紋,,1,,M,,,"　仙台市青葉区荒巻青葉,1♂；11.VI.2022 佐野孔亮"
22,チョウ,アゲハチョウ,モンキアゲハ,Papilio helenus nicconicolens,2022,6,16,川内,38.25753,140.85457,佐野孔亮,●,チョウ,アゲハチョウ,Papilio helenus nicconicolens,258.855,川内,樹上,A,大きさ、白紋,,1,,,ツツジ,,"　仙台市青葉区川内,1ex.；16.VI.2022 佐野孔亮"
23,チョウ,アゲハチョウ,モンキアゲハ,Papilio helenus nicconicolens,2022,6,21,川内,38.25755,140.85451,佐野孔亮,●,チョウ,アゲハチョウ,Papilio helenus nicconicolens,258.855,川内,空中,A,大きさ、白斑,,1,,M,,,"　仙台市青葉区川内,1♂；21.VI.2022 佐野孔亮"
24,チョウ,アゲハチョウ,モンキアゲハ,Papilio helenus nicconicolens,2023,6,8,工学部,38.2557,140.8373,佐野孔亮,●,チョウ,アゲハチョウ,Papilio helenus nicconicolens,256.837,工学部,草本,A,後翅白斑,,1,,F,ツツジ,春型、吸蜜中、未展翅,"　仙台市青葉区荒巻青葉,1♀；8.VI.2023 佐野孔亮"
25,チョウ,アゲハチョウ,モンキアゲハ,Papilio helenus nicconicolens,2023,8,1,理薬,38.25934,140.84192,佐野孔亮,●,チョウ,アゲハチョウ,Papilio helenus nicconicolens,259.842,理薬,,A,後翅白斑,,1,,M,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♂；1.VIII.2023 佐野孔亮"
26,チョウ,アゲハチョウ,モンキアゲハ,Papilio helenus nicconicolens,2023,8,24,理薬,38.25919,140.84229,佐野孔亮,●,チョウ,アゲハチョウ,Papilio helenus nicconicolens,259.842,理薬,,A,後翅白斑,,1,,M,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♂；24.VIII.2023 佐野孔亮"
27,チョウ,アゲハチョウ,ミヤマカラスアゲハ,Papilio maackii,2022,7,25,工学部,38.254,140.8421,佐野孔亮,●,チョウ,アゲハチョウ,Papilio maackii,254.842,工学部,草上,A,模様,,1,,M,,死骸,"　仙台市青葉区荒巻青葉,1♂；25.VII.2022 佐野孔亮"
28,チョウ,アゲハチョウ,ミヤマカラスアゲハ,Papilio maackii,2023,6,5,理薬,38.25896,140.84248,佐野孔亮,●,チョウ,アゲハチョウ,Papilio maackii,259.842,理薬,空中,A,模様,,1,,M,,春型、標本有,"　仙台市青葉区荒巻青葉,1♂；5.VI.2023 佐野孔亮"
29,チョウ,アゲハチョウ,ミヤマカラスアゲハ,Papilio maackii,2023,7,28,理薬,38.25938,140.8419,佐野孔亮,●,チョウ,アゲハチョウ,Papilio maackii,259.842,理薬,空中,A,模様,,1,,M,,夏型、標本有,"　仙台市青葉区荒巻青葉,1♂；28.VII.2023 佐野孔亮"
30,チョウ,アゲハチョウ,ミヤマカラスアゲハ,Papilio maackii,2023,8,29,理薬,38.25901,140.84244,佐野孔亮,●,チョウ,アゲハチョウ,Papilio maackii,259.842,理薬,,A,翅形、模様,,1,,M,,未展翅,"　仙台市青葉区荒巻青葉,1♂；29.VIII.2023 佐野孔亮"
31,チョウ,アゲハチョウ,キアゲハ,Papilio machaon hippocrates,2022,5,17,川内,38.25962,140.85259,佐野孔亮,●,チョウ,アゲハチョウ,Papilio machaon hippocrates,260.853,川内,低木,B,体色,,1,,,,,"　仙台市青葉区川内,1ex.；17.V.2022 佐野孔亮"
32,チョウ,アゲハチョウ,キアゲハ,Papilio machaon hippocrates,2022,7,5,川内,38.2587,140.85274,佐野孔亮,●,チョウ,アゲハチョウ,Papilio machaon hippocrates,259.853,川内,,A,翅の色,,1,,,,夏型,"　仙台市青葉区川内,1ex.；5.VII.2022 佐野孔亮"
33,チョウ,アゲハチョウ,キアゲハ,Papilio machaon hippocrates,2022,7,28,川内,38.25754,140.85465,佐野孔亮,●,チョウ,アゲハチョウ,Papilio machaon hippocrates,258.855,川内,草上,A,模様、色,,1,,,,,"　仙台市青葉区川内,1ex.；28.VII.2022 佐野孔亮"
34,チョウ,アゲハチョウ,キアゲハ,Papilio machaon hippocrates,2023,5,12,理薬,38.2583,140.84255,佐野孔亮,●,チョウ,アゲハチョウ,Papilio machaon hippocrates,258.843,理薬,,A,前翅の模様,,1,,F,,未展翅,"　仙台市青葉区荒巻青葉,1♀；12.V.2023 佐野孔亮"
35,チョウ,アゲハチョウ,キアゲハ,Papilio machaon hippocrates,2023,7,14,理薬,38.25897,140.84242,佐野孔亮,●,チョウ,アゲハチョウ,Papilio machaon hippocrates,259.842,理薬,,A,前翅の模様,,1,,M,,未展翅,"　仙台市青葉区荒巻青葉,1♂；14.VII.2023 佐野孔亮"
36,チョウ,アゲハチョウ,オナガアゲハ,Papilio macilentus macilentus,2022,5,26,川内,38.25891,140.85272,佐野孔亮,●,チョウ,アゲハチョウ,Papilio macilentus macilentus,259.853,川内,草本,A,翅形状,,1,,F,ツツジ,吸蜜中、標本有,"　仙台市青葉区川内,1♀；26.V.2022 佐野孔亮"
37,チョウ,アゲハチョウ,オナガアゲハ,Papilio macilentus macilentus,2022,6,16,川内,38.2578,140.85435,佐野孔亮,●,チョウ,アゲハチョウ,Papilio macilentus macilentus,258.854,川内,樹上,A,尾状突起、上翅の形状,,2,,,ツツジ,,"　仙台市青葉区川内,2ex.；16.VI.2022 佐野孔亮"
38,チョウ,アゲハチョウ,オナガアゲハ,Papilio macilentus macilentus,2022,6,21,川内,38.25774,140.85442,佐野孔亮,●,チョウ,アゲハチョウ,Papilio macilentus macilentus,258.854,川内,樹上,A,前翅形状,,1,,M,ツツジ,後翅が大きく欠損,"　仙台市青葉区川内,1♂；21.VI.2022 佐野孔亮"
39,チョウ,アゲハチョウ,オナガアゲハ,Papilio macilentus macilentus,2023,4,28,理薬,38.25897,140.84247,佐野孔亮,●,チョウ,アゲハチョウ,Papilio macilentus macilentus,259.842,理薬,,A,尾状突起,,1,,M,,未展翅,"　仙台市青葉区荒巻青葉,1♂；28.IV.2023 佐野孔亮"
40,チョウ,アゲハチョウ,オナガアゲハ,Papilio macilentus macilentus,2023,5,12,理薬,38.25898,140.84252,佐野孔亮,●,チョウ,アゲハチョウ,Papilio macilentus macilentus,259.843,理薬,空中,A,模様、翅形,,1,,M,,,"　仙台市青葉区荒巻青葉,1♂；12.V.2023 佐野孔亮"
41,チョウ,アゲハチョウ,オナガアゲハ,Papilio macilentus macilentus,2023,6,10,川内,38.25026,140.86094,佐野孔亮,●,チョウ,アゲハチョウ,Papilio macilentus macilentus,250.861,川内,空中,A,尾状突起,,1,,M,,春型、未展翅,"　仙台市青葉区川内,1♂；10.VI.2023 佐野孔亮"
42,チョウ,アゲハチョウ,オナガアゲハ,Papilio macilentus macilentus,2023,7,28,理薬,38.25915,140.84238,佐野孔亮,●,チョウ,アゲハチョウ,Papilio macilentus macilentus,259.842,理薬,,A,翅形,,1,,M,,夏型、標本有,"　仙台市青葉区荒巻青葉,1♂；28.VII.2023 佐野孔亮"
43,チョウ,アゲハチョウ,オナガアゲハ,Papilio macilentus macilentus,2023,8,31,理薬,38.2586,140.83941,佐野孔亮,●,チョウ,アゲハチョウ,Papilio macilentus macilentus,259.839,理薬,舗装,A,翅形,,1,,F,,第三化？、標本有,"　仙台市青葉区荒巻青葉,1♀；31.VIII.2023 佐野孔亮"
44,チョウ,アゲハチョウ,オナガアゲハ,Papilio macilentus macilentus,2023,9,1,理薬,38.25934,140.84192,佐野孔亮,●,チョウ,アゲハチョウ,Papilio macilentus macilentus,259.842,理薬,,A,尾状突起,,1,,M,,未展翅,"　仙台市青葉区荒巻青葉,1♂；1.IX.2023 佐野孔亮"
45,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2022,5,26,川内,38.25722,140.85813,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,257.858,川内,止水,B,翅形状、斑紋,,1,,,,仙台城堀の湿地帯で給水中,"　仙台市青葉区川内,1ex.；26.V.2022 佐野孔亮"
46,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2022,5,26,川内,38.25261,140.85885,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,253.859,川内,草本,C,翅形状,,1,,,,吸蜜中,"　仙台市青葉区川内,1ex.；26.V.2022 佐野孔亮"
47,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2022,5,29,川内,38.25262,140.8589,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,253.859,川内,草本,A,模様、翅形,,1,,M,ツツジ,吸蜜、標本有。,"　仙台市青葉区川内,1♂；29.V.2022 佐野孔亮"
48,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2022,6,5,川内,38.24984,140.86235,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,250.862,川内,空中,A,模様、翅形,,2,,1M1F,,求愛中。♂のみ標本有。,"　仙台市青葉区川内,21♂1♀；5.VI.2022 佐野孔亮"
49,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2022,6,11,川内,38.25824,140.84946,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,258.849,川内,空中,B,翅形状、体色,,1,,,,,"　仙台市青葉区川内,1ex.；11.VI.2022 佐野孔亮"
50,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2022,6,19,川内,38.25055,140.85878,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,251.859,川内,草本,A,翅形、模様,,1,,M,ツツジ,吸蜜、標本有。,"　仙台市青葉区川内,1♂；19.VI.2022 佐野孔亮"
51,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2022,6,20,川内,38.2505,140.85887,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,251.859,川内,草本,A,翅形、模様,,1,,F,ツツジ,吸蜜、標本有。,"　仙台市青葉区川内,1♀；20.VI.2022 佐野孔亮"
52,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2022,6,21,川内,38.2579,140.85444,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,258.854,川内,樹上,A,尾錠突起,,1,,M,ツツジ,,"　仙台市青葉区川内,1♂；21.VI.2022 佐野孔亮"
53,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2022,7,28,川内,38.25687,140.85748,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,257.857,川内,樹上,A,前翅形状,,1,,,,,"　仙台市青葉区川内,1ex.；28.VII.2022 佐野孔亮"
54,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,4,7,理薬,38.25834,140.84238,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,258.842,理薬,,A,模様、翅形,,1,,F,,標本有。,"　仙台市青葉区荒巻青葉,1♀；7.IV.2023 佐野孔亮"
55,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,5,12,理薬,38.25898,140.84277,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,259.843,理薬,,A,翅形、模様,,1,,M,,未展翅,"　仙台市青葉区荒巻青葉,1♂；12.V.2023 佐野孔亮"
56,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,5,27,理薬,38.25835,140.84253,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,258.843,理薬,,A,翅形、模様,,1,,F,,未展翅,"　仙台市青葉区荒巻青葉,1♀；27.V.2023 佐野孔亮"
57,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,5,27,理薬,38.25903,140.84246,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,259.842,理薬,,A,翅形、模様,,1,,M,,未展翅,"　仙台市青葉区荒巻青葉,1♂；27.V.2023 佐野孔亮"
58,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,5,27,理薬,38.25897,140.8425,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,259.843,理薬,,A,翅形、模様,,1,,M,,未展翅,"　仙台市青葉区荒巻青葉,1♂；27.V.2023 佐野孔亮"
59,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,7,21,理薬,38.25929,140.84198,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,259.842,理薬,,A,翅形、模様,,1,,M,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♂；21.VII.2023 佐野孔亮"
60,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,7,28,理薬,38.25915,140.84238,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,259.842,理薬,,A,翅形、模様,,1,,M,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♂；28.VII.2023 佐野孔亮"
61,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,8,1,理薬,38.25911,140.84231,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,259.842,理薬,,A,翅形、模様,,1,,M,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♂；1.VIII.2023 佐野孔亮"
62,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,8,1,理薬,38.25934,140.84192,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,259.842,理薬,,A,翅形、模様,,1,,M,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♂；1.VIII.2023 佐野孔亮"
63,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,8,22,理薬,38.25938,140.84189,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,259.842,理薬,,A,翅形、模様,,1,,M,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♂；22.VIII.2023 佐野孔亮"
64,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,8,23,理薬,38.25831,140.83909,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,258.839,理薬,,A,翅形、模様,,1,,F,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♀；23.VIII.2023 佐野孔亮"
65,チョウ,アゲハチョウ,クロアゲハ,Papilio protenor demetrius,2023,8,29,理薬,38.25938,140.84189,佐野孔亮,●,チョウ,アゲハチョウ,Papilio protenor demetrius,259.842,理薬,,A,翅形、模様,,1,,M,,夏型、未展翅,"　仙台市青葉区荒巻青葉,1♂；29.VIII.2023 佐野孔亮"
66,チョウ,アゲハチョウ,アゲハ,Papilio xuthus,2022,5,26,川内,38.2565,140.85827,佐野孔亮,_,チョウ,アゲハチョウ,Papilio xuthus,257.858,川内,空中,A,翅の模様、色,,1,,,,,"　仙台市青葉区川内,1ex.；26.V.2022 佐野孔亮"
67,チョウ,アゲハチョウ,ナミアゲハ,Papilio xuthus,2023,4,19,理薬,38.25813,140.84188,佐野孔亮,●,チョウ,アゲハチョウ,Papilio xuthus,258.842,理薬,空中,A,模様,,1,,,,,"　仙台市青葉区荒巻青葉,1ex.；19.IV.2023 佐野孔亮"
68,チョウ,アゲハチョウ,ナミアゲハ,Papilio xuthus,2023,4,21,理薬,38.25896,140.84251,佐野孔亮,●,チョウ,アゲハチョウ,Papilio xuthus,259.843,理薬,草本,A,模様、色合いが白っぽい,,1,,,,,"　仙台市青葉区荒巻青葉,1ex.；21.IV.2023 佐野孔亮"
69,チョウ,アゲハチョウ,ナミアゲハ,Papilio xuthus,2023,6,5,理薬,38.25902,140.84247,佐野孔亮,●,チョウ,アゲハチョウ,Papilio xuthus,259.842,理薬,空中,A,前翅の模様,,1,,,,未展翅,"　仙台市青葉区荒巻青葉,1ex.；5.VI.2023 佐野孔亮"
70,チョウ,アゲハチョウ,ナミアゲハ,Papilio xuthus,2023,9,12,理薬,38.25918,140.84221,佐野孔亮,●,チョウ,アゲハチョウ,Papilio xuthus,259.842,理薬,,A,前翅の模様,,1,,,,未展翅,"　仙台市青葉区荒巻青葉,1ex.；12.IX.2023 佐野孔亮"
71,チョウ,シジミチョウ,ムラサキシジミ,Arhopala japonica,2023,4,21,理薬,38.25892,140.84237,佐野孔亮,●,チョウ,シジミチョウ,Arhopala japonica,259.842,理薬,,A,模様,,1,,,,未展翅,"　仙台市青葉区荒巻青葉,1ex.；21.IV.2023 佐野孔亮"
72,チョウ,シジミチョウ,ムラサキシジミ,Arhopala japonica,2023,4,21,理薬,38.25892,140.84237,佐野孔亮,●,チョウ,シジミチョウ,Arhopala japonica,259.842,理薬,,A,模様,,1,,,,未展翅,"　仙台市青葉区荒巻青葉,1ex.；21.IV.2023 佐野孔亮"
73,チョウ,シジミチョウ,ルリシジミ,Celastrina argiolus ladonides,2022,4,26,川内,38.2567,140.85055,佐野孔亮,●,チョウ,シジミチョウ,Celastrina argiolus ladonides,257.851,川内,草本,B,翅の模様,,1,,,,,"　仙台市青葉区川内,1ex.；26.IV.2022 佐野孔亮"
74,チョウ,シジミチョウ,ルリシジミ,Celastrina argiolus ladonides,2022,7,16,青葉山農,38.25519,140.83331,佐野孔亮,●,チョウ,シジミチョウ,Celastrina argiolus ladonides,255.833,青葉山農,,A,模様,,1,,,,未展翅,"　仙台市青葉区荒巻青葉,1ex.；16.VII.2022 佐野孔亮"
75,チョウ,シジミチョウ,ルリシジミ,Celastrina argiolus ladonides,2023,4,5,青葉山農,38.24884,140.83987,佐野孔亮,●,チョウ,シジミチョウ,Celastrina argiolus ladonides,249.84,青葉山農,,A,裏面の模様,,1,,,,未展翅,"　仙台市青葉区荒巻青葉,1ex.；5.IV.2023 佐野孔亮"
76,チョウ,シジミチョウ,ルリシジミ,Celastrina argiolus ladonides,2023,6,10,理薬,38.25893,140.84238,佐野孔亮,●,チョウ,シジミチョウ,Celastrina argiolus ladonides,259.842,理薬,,A,裏面の模様,,1,,,,未展翅,"　仙台市青葉区荒巻青葉,1ex.；10.VI.2023 佐野孔亮"
77,チョウ,シジミチョウ,ルリシジミ,Celastrina argiolus ladonides,2023,6,20,理薬,38.25817,140.83665,佐野孔亮,●,チョウ,シジミチョウ,Celastrina argiolus ladonides,258.837,理薬,,A,模様,,1,,,,未展翅,"　仙台市青葉区荒巻青葉,1ex.；20.VI.2023 佐野孔亮"
78,チョウ,シジミチョウ,ウラギンシジミ,Curetis acuta paracuta,2022,6,18,川内,38.25047,140.85887,佐野孔亮,●,チョウ,シジミチョウ,Curetis acuta paracuta,250.859,川内,,A,模様,,1,,,,未展翅,"　仙台市青葉区川内,1ex.；18.VI.2022 佐野孔亮"
79,チョウ,シジミチョウ,ウラギンシジミ,Curetis acuta paracuta,2022,6,20,川内,38.26023,140.8525,佐野孔亮,●,チョウ,シジミチョウ,Curetis acuta paracuta,260.853,川内,,A,模様,,1,,M,,未展翅,"　仙台市青葉区川内,1♂；20.VI.2022 佐野孔亮"
80,チョウ,シジミチョウ,ウラギンシジミ,Curetis acuta paracuta,2023,8,24,理薬,38.25902,140.84246,佐野孔亮,●,チョウ,シジミチョウ,Curetis acuta paracuta,259.842,理薬,,A,模様,,1,,F,,未展翅,"　仙台市青葉区荒巻青葉,1♀；24.VIII.2023 佐野孔亮"
81,チョウ,シジミチョウ,アカシジミ,Japonica lutea lutea,2023,6,7,理薬,38.25904,140.84258,佐野孔亮,●,チョウ,シジミチョウ,Japonica lutea lutea,259.843,理薬,草本,A,模様,,1,,,,,"　仙台市青葉区荒巻青葉,1ex.；7.VI.2023 佐野孔亮"
82,チョウ,シジミチョウ,ウラナミシジミ,Lampides boeticus,2023,9,20,理薬,38.25869,140.8416,佐野孔亮,●,チョウ,シジミチョウ,Lampides boeticus,259.842,理薬,,A,裏面の模様,,1,,,,未展翅,"　仙台市青葉区荒巻青葉,1ex.；20.IX.2023 佐野孔亮"
83,チョウ,シジミチョウ,ウラナミシジミ,Lampides boeticus,2023,9,25,青葉山農,38.25032,140.83613,佐野孔亮,●,チョウ,シジミチョウ,Lampides boeticus,250.836,青葉山農,,A,裏面の模様,,1,,,,未展翅,"　仙台市青葉区荒巻青葉,1ex.；25.IX.2023 佐野孔亮"
84,チョウ,シジミチョウ,ベニシジミ,Lycaena phlaeas chinensis,2022,4,19,川内,38.25658,140.8547,佐野孔亮,●,チョウ,シジミチョウ,Lycaena phlaeas chinensis,257.855,川内,,A,模様,,1,,,,未展翅,"　仙台市青葉区川内,1ex.；19.IV.2022 佐野孔亮"
